Date,WAIT,NPS
2024-11-26,1.4133783783783784,87.77027027027027
2024-11-26,1.2849116997792496,87.01986754966887
2024-11-26,1.5726132965263402,85.43823326432023
2024-11-26,1.3249890924956371,89.85602094240838
2024-11-26,1.41760193358554,87.57881462799496
2024-11-26,1.361785075960679,86.8632707774799
2024-11-26,1.2880617035546613,86.25083836351442
2024-11-26,1.3210864978902954,87.59493670886076
2024-11-26,1.5123735670937286,86.8509777478085
2024-11-26,1.3828539576365664,88.22742474916387
2024-11-26,1.4724853405502931,87.41542625169147
2024-11-26,1.452892381576075,86.57498362802882
2024-11-26,1.3966306062654945,84.71940500338067
2024-11-26,1.3907702100572883,84.21387651177594
2024-11-26,1.3948173949757232,87.84040531982266
2024-11-26,1.3826135852451642,89.00134952766533
2024-11-26,1.4084306095979249,88.58625162127107
2024-11-26,1.4564942152368479,86.31303208906353
2024-11-26,1.5748875393612234,85.02024291497976
2024-11-26,1.4130316362874502,87.86926461345067
2024-11-26,1.5017252396166134,84.53674121405751
2024-11-26,1.3559119093435963,86.46568313021167
2024-11-26,1.570028102031993,86.44617380025942
2024-11-26,1.410008789277082,84.97033618984838
