Date,WAIT,NPS
2024-11-26,84.8027027027027,87.77027027027027
2024-11-26,77.09470198675497,87.01986754966887
2024-11-26,94.3567977915804,85.43823326432023
2024-11-26,79.49934554973822,89.85602094240838
2024-11-26,85.0561160151324,87.57881462799496
2024-11-26,81.70710455764075,86.8632707774799
2024-11-26,77.28370221327968,86.25083836351442
2024-11-26,79.26518987341773,87.59493670886076
2024-11-26,90.74241402562373,86.8509777478085
2024-11-26,82.97123745819398,88.22742474916387
2024-11-26,88.34912043301759,87.41542625169147
2024-11-26,87.1735428945645,86.57498362802882
2024-11-26,83.79783637592968,84.71940500338067
2024-11-26,83.4462126034373,84.21387651177594
2024-11-26,83.68904369854339,87.84040531982266
2024-11-26,82.95681511470985,89.00134952766533
2024-11-26,84.50583657587549,88.58625162127107
2024-11-26,87.38965291421087,86.31303208906353
2024-11-26,94.49325236167341,85.02024291497976
2024-11-26,84.78189817724702,87.86926461345067
2024-11-26,90.1035143769968,84.53674121405751
2024-11-26,81.35471456061578,86.46568313021167
2024-11-26,94.20168612191958,86.44617380025942
2024-11-26,84.60052735662492,84.97033618984838
