DATE,HOUR,AVG_WAIT_TIME_MINUTES,NPS_SCORE
2024-01-01,0,0.3525641025641026,100.0
2024-01-01,1,3.925,90.0
2024-01-01,2,0.13124999999999998,62.5
2024-01-01,3,0.18939393939393942,100.0
2024-01-01,4,0.9833333333333333,100.0
2024-01-01,11,0.2533333333333333,90.0
2024-01-01,12,1.05,100.0
2024-01-01,13,0.07083333333333333,100.0
2024-01-01,14,0.14,100.0
2024-01-01,15,0.692156862745098,82.35294117647058
2024-01-01,16,0.667948717948718,100.0
2024-01-01,17,0.22745098039215686,88.23529411764706
2024-01-01,18,0.9626984126984126,100.0
2024-01-01,19,0.1641025641025641,84.61538461538461
2024-01-01,20,0.3762820512820512,96.15384615384616
2024-01-01,21,0.28137254901960784,76.47058823529412
2024-01-01,22,0.7484848484848484,72.72727272727273
2024-01-01,23,3.0583333333333336,72.22222222222221
2024-01-02,0,6.588095238095238,100.0
2024-01-02,1,12.602083333333333,93.75
2024-01-02,2,10.053703703703702,94.44444444444444
2024-01-02,3,11.948333333333334,60.0
2024-01-02,4,1.45,63.63636363636363
2024-01-02,11,0.9119047619047619,100.0
2024-01-02,12,0.8875,50.0
2024-01-02,13,0.21111111111111114,100.0
2024-01-02,14,0.1142857142857143,100.0
2024-01-02,15,0.3190476190476191,85.71428571428571
2024-01-02,16,0.5136363636363637,90.9090909090909
2024-01-02,17,0.8416666666666668,80.0
2024-01-02,18,1.3458333333333332,93.75
2024-01-02,19,0.7797619047619048,100.0
2024-01-02,20,0.08043478260869565,39.130434782608695
2024-01-02,21,0.4798245614035088,89.47368421052632
2024-01-02,22,0.6229166666666667,56.25
2024-01-02,23,1.3526315789473684,73.68421052631578
2024-01-03,0,4.604761904761905,80.95238095238095
2024-01-03,1,12.604444444444447,80.0
2024-01-03,2,22.69814814814815,100.0
2024-01-03,3,26.693055555555556,83.33333333333334
2024-01-03,4,13.058974358974357,69.23076923076923
2024-01-03,11,0.04047619047619048,85.71428571428571
2024-01-03,12,0.375,75.0
2024-01-03,13,0.15416666666666665,100.0
2024-01-03,14,0.13571428571428573,85.71428571428571
2024-01-03,15,0.5444444444444445,77.77777777777779
2024-01-03,16,1.3333333333333333,86.66666666666667
2024-01-03,17,0.8009803921568628,94.11764705882352
2024-01-03,18,1.4696078431372548,88.23529411764706
2024-01-03,19,1.88015873015873,57.14285714285714
2024-01-03,20,0.15476190476190474,42.857142857142854
2024-01-03,21,0.07083333333333335,16.666666666666664
2024-01-03,22,0.15208333333333335,62.5
2024-01-03,23,1.0905797101449275,52.17391304347826
2024-01-04,0,0.7833333333333332,100.0
2024-01-04,1,6.472727272727272,86.36363636363636
2024-01-04,2,21.894202898550727,91.30434782608695
2024-01-04,3,29.926470588235293,64.70588235294117
2024-01-04,4,14.349999999999998,100.0
2024-01-04,11,0.5533333333333335,90.0
2024-01-04,12,1.03125,100.0
2024-01-04,13,0.13666666666666666,80.0
2024-01-04,14,0.3466666666666666,80.0
2024-01-04,15,0.05714285714285715,57.14285714285714
2024-01-04,16,3.709803921568627,100.0
2024-01-04,17,1.6074074074074076,100.0
2024-01-04,18,0.6833333333333333,68.75
2024-01-04,19,5.952222222222222,100.0
2024-01-04,20,0.2772727272727273,81.81818181818183
2024-01-04,21,0.0962962962962963,83.33333333333334
2024-01-04,22,0.07291666666666667,75.0
